,User,Follows_Count,Language,Date_Tweet,Source_of_Tweet,Tweet,Hashtags,Place
8603,iheartjustin002,0,en,2010-06-28 23:54:53+00:00,Twitter Web Client,We ALLLLLLL know heidi REALLY sent that TWEET. http://yep.it/mtesme Laranja Mecâca Venha Holanda #worldcup CHILE CTM Daniel Alves,['worldcup'],
8604,paulwisecar,58,en,2010-06-28 23:54:45+00:00,Twitter Web Client,"Nigeria World Cup 2010 #worldcup: S Korea, Ghana target quarter-finals places http://bit.ly/d818FV",['worldcup'],
8605,brazilff,644,en,2010-06-28 23:54:43+00:00,Twitter Web Client,Brazil 3 Chile 0: That was a bit good http://ffd.me/cUs5pP #worldcup #bra,"['worldcup', 'bra']",
8606,iheartjustin6,2,en,2010-06-28 23:54:43+00:00,Twitter Web Client,this makes me want to go get a license and put mrs. jieber http://url.co.uk/0rp6ly #worldcup BOCA GALVÃ CALA BOCA GALVAO Mick Jagger,['worldcup'],
8607,Argentinaff,578,en,2010-06-28 23:54:42+00:00,Twitter Web Client,Brazil 3 Chile 0: That was a bit good http://ffd.me/cUs5pP #worldcup #arg,"['worldcup', 'arg']",
8608,worldcup2010ff,464,en,2010-06-28 23:54:41+00:00,Twitter Web Client,Brazil 3 Chile 0: That was a bit good http://ffd.me/cUs5pP #worldcup,['worldcup'],
8609,brazilff,644,en,2010-06-28 23:54:41+00:00,Twitter Web Client,Bradley: Dunga's Brazil is all about winning http://ffd.me/cw7Qjf #worldcup #bra,"['worldcup', 'bra']",
8610,worldcup2010ff,464,en,2010-06-28 23:54:40+00:00,Twitter Web Client,Bradley: Dunga's Brazil is all about winning http://ffd.me/cw7Qjf #worldcup,['worldcup'],
8611,southafricaff,702,en,2010-06-28 23:54:40+00:00,Twitter Web Client,Lack of touch dooms U.S. http://ffd.me/ce5tBh #worldcup #rsa,"['worldcup', 'rsa']","Place(fullName='Northern Cape', name='Northern Cape', type='admin', country='South Africa', countryCode='ZA')"
8612,worldcup2010ff,464,en,2010-06-28 23:54:38+00:00,Twitter Web Client,Lack of touch dooms U.S. http://ffd.me/ce5tBh #worldcup,['worldcup'],
8613,chileff,362,en,2010-06-28 23:54:38+00:00,Twitter Web Client,Jones: Chile has written a new story in South Africa http://ffd.me/cqzmRD #worldcup #chi,"['worldcup', 'chi']",
8614,MAILworldcup,172,en,2010-06-28 23:54:38+00:00,Twitter Web Client,#worldcup MARTIN SAMUEL: There is only one thing tired about England... the excuses http://bit.ly/ceOUoT,['worldcup'],
8615,southafricaff,702,en,2010-06-28 23:54:37+00:00,Twitter Web Client,Jones: Chile has written a new story in South Africa http://ffd.me/cqzmRD #worldcup #rsa,"['worldcup', 'rsa']","Place(fullName='Northern Cape', name='Northern Cape', type='admin', country='South Africa', countryCode='ZA')"
8616,worldcup2010ff,464,en,2010-06-28 23:54:37+00:00,Twitter Web Client,Jones: Chile has written a new story in South Africa http://ffd.me/cqzmRD #worldcup,['worldcup'],
8617,brazilff,644,en,2010-06-28 23:54:36+00:00,Twitter Web Client,Schaerlaeckens: Brazil looking the part of champions http://ffd.me/97sw9c #worldcup #bra,"['worldcup', 'bra']",
8618,worldcup2010ff,464,en,2010-06-28 23:54:35+00:00,Twitter Web Client,Schaerlaeckens: Brazil looking the part of champions http://ffd.me/97sw9c #worldcup,['worldcup'],
8619,kristin,4567,en,2010-06-28 23:54:35+00:00,TweetDeck,Hup Holland! #NED #WorldCup,"['NED', 'WorldCup']",
8620,chileff,362,en,2010-06-28 23:54:35+00:00,Twitter Web Client,Carlisle: Chile goes down swinging http://ffd.me/9mU6BM #worldcup #chi,"['worldcup', 'chi']",
8621,cameronvdd,1256,en,2010-06-28 23:54:35+00:00,Twitter Web Client,Nevertheless #WorldCup Quarter Finalists and a great run into the Final if we can knock off #Bra #HUPHOLLANDHUP,"['WorldCup', 'Bra', 'HUPHOLLANDHUP']",
8622,brazilff,644,en,2010-06-28 23:54:34+00:00,Twitter Web Client,Carlisle: Chile goes down swinging http://ffd.me/9mU6BM #worldcup #bra,"['worldcup', 'bra']",
8623,worldcup2010ff,464,en,2010-06-28 23:54:33+00:00,Twitter Web Client,Carlisle: Chile goes down swinging http://ffd.me/9mU6BM #worldcup,['worldcup'],
8624,IPLCLUB,253,en,2010-06-28 23:54:29+00:00,RSS2Twitter,"#worldcup #fifa 2010 testcricket: WI 56/3 (19.1 ov, S Chanderpaul 19*, BP Nash 10*, JH Kallis 0/0) #cricket: http://url4.eu/56NNQ","['worldcup', 'fifa', 'cricket']",
8625,IPLCLUB,253,en,2010-06-28 23:54:29+00:00,RSS2Twitter,"#worldcup #fifa 2010 testcricket: WI 70/3 (26.0 ov, BP Nash 12*, S Chanderpaul 30*, PL Harris 0/16) - Tea http://url4.eu/56NNR","['worldcup', 'fifa']",
8626,IPLCLUB,253,en,2010-06-28 23:54:29+00:00,RSS2Twitter,"#worldcup #fifa 2010 testcricket: WI 134/7 (57.0 ov, S Chanderpaul 57*, SJ Benn 4*, J Botha 3/34) - Stumps http://url4.eu/56NNP","['worldcup', 'fifa']",
8627,IPLCLUB,253,en,2010-06-28 23:54:29+00:00,RSS2Twitter,"#worldcup #fifa 2010 testcricket: WI 66/3 (22.0 ov, BP Nash 10*, S Chanderpaul 29*, PL Harris 0/15) #cricket: http://url4.eu/56NNN","['worldcup', 'fifa', 'cricket']",
